sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	1	1	0.001	0	1	37842	-1.21138572707244	nan	1.60140006759922
none	none	1	1	0.001	0	2	32670	-1.11134594620597	0.716737689836136	6.84277299328303
none	none	1	1	0.001	0	3	21450	-0.603470036942752	0.719561296056196	16.6157501778416
none	none	1	1	0.001	0	4	26472	-1.13230031211308	0.72032159092803	4.70535231060239
none	none	1	1	0.001	0	5	25073	-0.364278362326651	0.720668446586241	0.999619113083021
none	none	1	1	0.001	0	6	23353	-0.590874700821746	0.722914085734873	0.999963365693888
none	none	1	1	0.001	0	7	23701	-0.101072045206756	0.722562579193133	0.999878033267454
none	none	1	1	0.001	0	8	23366	-0.471671482848981	0.723918554946831	0.999841695839558
none	none	1	1	0.001	0	9	26096	-0.0017051931163793	0.722892981133198	0.999667159646564
none	none	1	1	0.001	0	10	25277	-0.104552625516484	0.722906932322102	0.999740068922748
none	none	1	1	0.001	0	12	26375	0.0208806356036242	0.722775708723956	0.999740890870633
none	none	1	1	0.001	0	14	28926	0.0268184003667273	0.721944898277305	0.999689494864152
none	none	1	1	0.001	0	16	28667	0.0617712649547126	0.722984124254518	0.999433113143245
none	none	1	1	0.001	0	18	33548	0.0527283851983284	0.720891253968407	0.999817021277149
none	none	1	1	0.001	0	20	34936	0.0672825844196391	0.721380514996553	0.999745243480636
none	periodic	1	1	0.001	0	1	28230	-1.44978788794007	nan	1.21537715869196
none	periodic	1	1	0.001	0	2	25451	-7.6326819531388	0.739865004054289	7.16612740951209
none	periodic	1	1	0.001	0	3	24140	-1.47712373646242	0.742669173898915	1.02535477931569
none	periodic	1	1	0.001	0	4	21154	-8.65741310337718	0.744480835290232	3.32662204904763
none	periodic	1	1	0.001	0	5	21553	-0.824721428909487	0.746315282886668	8.19398431483588
none	periodic	1	1	0.001	0	6	21277	-7.55435363134009	0.745284694797206	6.90196725005512
none	periodic	1	1	0.001	0	7	23075	-4.58977922396249	0.749473952287673	46.1719894891175
none	periodic	1	1	0.001	0	8	24103	-7.41278333356409	0.746044697438244	0.999946283824862
none	periodic	1	1	0.001	0	9	24263	-2.1986033721658	0.747513815145461	0.999856762178466
none	periodic	1	1	0.001	0	10	27573	-12.574978845902	0.744923785680877	0.999970823628497
none	periodic	1	1	0.001	0	12	25739	-2.70147059974386	0.746052791335201	0.999916987178446
none	periodic	1	1	0.001	0	14	26044	-0.0986907676856866	0.746073602802608	0.999909989687409
none	periodic	1	1	0.001	0	16	31682	-0.673303048836069	0.746489459893385	0.999959370635874
none	periodic	1	1	0.001	0	18	32654	-0.13078038315166	0.744925124089377	0.999961410618311
none	periodic	1	1	0.001	0	20	35034	-0.526833439465222	0.74512370591972	0.999631727835323
none	fixed	1	1	0.001	0	1	10923	-0.280608515701411	nan	2.08772529975653
none	fixed	1	1	0.001	0	2	11554	-0.00436550628370585	0.680972339551277	0.998971151895375
none	fixed	1	1	0.001	0	3	11513	0.0731520333031513	0.683406485376713	0.997886586633958
none	fixed	1	1	0.001	0	4	12423	0.0856689501745721	0.685007361408387	0.998488211129965
none	fixed	1	1	0.001	0	5	13870	0.0968266684316253	0.685226352406662	0.998162926342105
none	fixed	1	1	0.001	0	6	14039	0.101771871782599	0.685138495484874	0.997982728514044
none	fixed	1	1	0.001	0	7	14807	0.105232911481242	0.684759246137229	0.996841921268836
none	fixed	1	1	0.001	0	8	15834	0.107973939818572	0.685089369003957	0.996717458484187
none	fixed	1	1	0.001	0	9	16116	0.122596121028752	0.690040736903258	0.997190181121899
none	fixed	1	1	0.001	0	10	17922	0.118220157089399	0.691418654094375	0.997726720066407
none	fixed	1	1	0.001	0	12	17596	0.138411099667539	0.690926681783704	0.99747933700786
none	fixed	1	1	0.001	0	14	18596	0.141303644319787	0.688597765515909	0.997822955254078
none	fixed	1	1	0.001	0	16	20757	0.142932671537475	0.690639157368041	0.997254231494006
none	fixed	1	1	0.001	0	18	27957	0.151082928689341	0.692445056569322	0.996915602321252
none	fixed	1	1	0.001	0	20	23969	0.150722469192621	0.687857449192293	0.996801614657459
ps	none	1	1	0.001	0	1	14544	-0.0549944051718326	nan	0.996395262804692
ps	none	1	1	0.001	0	2	15591	0.0417703874455023	0.684794674770768	0.996717411231062
ps	none	1	1	0.001	0	3	14130	0.0894196782142639	0.68945219866923	0.998404298969798
ps	none	1	1	0.001	0	4	15998	0.11210587848823	0.691497074487397	0.996529259538241
ps	none	1	1	0.001	0	5	16044	0.123655784522356	0.693167566007359	0.998598502339826
ps	none	1	1	0.001	0	6	17749	0.132870335502131	0.692890669903793	0.996946820605966
ps	none	1	1	0.001	0	7	21271	0.134053300248417	0.694964759549053	0.996592409505591
ps	none	1	1	0.001	0	8	20263	0.139762878883949	0.694837726524487	0.998394439172518
ps	none	1	1	0.001	0	9	20076	0.14019724111289	0.695407153371976	0.997164156946554
ps	none	1	1	0.001	0	10	24222	0.142526546326955	0.694101412260462	0.997787417202057
ps	none	1	1	0.001	0	12	24738	0.149819143952099	0.693405237721791	0.996193891576421
ps	none	1	1	0.001	0	14	27772	0.154517102805516	0.695761032912466	0.998148238345796
ps	none	1	1	0.001	0	16	32443	0.151433786609832	0.694293273466908	0.997907581909824
