sliding type	periodicity type	greedy	doubled edge	tol	tolCrit	steps	cpu time [ms]	Qmin	Qmean	Qmax
none	none	0	0	0	0	5	744	0.807589697539636	0.911765310928432	0.998966399525099
none	none	0	0	0	0	5	734	0.807589697539636	0.911765310928432	0.998966399525099
none	none	0	0	0	0	5	755	0.807589697539636	0.911765310928432	0.998966399525099
none	none	0	0	0	0	5	736	0.807589697539636	0.911765310928432	0.998966399525099
none	none	0	0	0	0	5	730	0.807589697539636	0.911765310928432	0.998966399525099
none	none	0	0	0	0	20	2940	0.809645293781378	0.911863674618648	0.998973566310458
none	none	0	0	0	0	20	2920	0.809645293781378	0.911863674618648	0.998973566310458
none	none	0	0	0	0	20	2928	0.809645293781378	0.911863674618648	0.998973566310458
none	none	0	0	0	0	20	2896	0.809645293781378	0.911863674618648	0.998973566310458
none	none	0	0	0	0	20	2929	0.809645293781378	0.911863674618648	0.998973566310458
ps	none	0	0	0	0	5	742	0.826680520498163	0.910566955283268	0.99840777898019
ps	none	0	0	0	0	5	735	0.826680520498163	0.910566955283268	0.99840777898019
ps	none	0	0	0	0	5	750	0.826680520498163	0.910566955283268	0.99840777898019
ps	none	0	0	0	0	5	738	0.826680520498163	0.910566955283268	0.99840777898019
ps	none	0	0	0	0	5	755	0.826680520498163	0.910566955283268	0.99840777898019
ps	none	0	0	0	0	20	2957	0.827170101558309	0.910622106158936	0.998992287020588
ps	none	0	0	0	0	20	2973	0.827170101558309	0.910622106158936	0.998992287020588
ps	none	0	0	0	0	20	2954	0.827170101558309	0.910622106158936	0.998992287020588
ps	none	0	0	0	0	20	2945	0.827170101558309	0.910622106158936	0.998992287020588
ps	none	0	0	0	0	20	2953	0.827170101558309	0.910622106158936	0.998992287020588
ds	none	0	0	0	0	5	1612	0.818217361683977	0.908838142827165	0.999726797366965
ds	none	0	0	0	0	5	1639	0.818217361683977	0.908838142827165	0.999726797366965
ds	none	0	0	0	0	5	1638	0.818217361683977	0.908838142827165	0.999726797366965
ds	none	0	0	0	0	5	1631	0.818217361683977	0.908838142827165	0.999726797366965
ds	none	0	0	0	0	5	1619	0.818217361683977	0.908838142827165	0.999726797366965
ds	none	0	0	0	0	20	6436	0.818337892398017	0.90889862895863	0.999752358116897
ds	none	0	0	0	0	20	6601	0.818337892398017	0.90889862895863	0.999752358116897
ds	none	0	0	0	0	20	6499	0.818337892398017	0.90889862895863	0.999752358116897
ds	none	0	0	0	0	20	6840	0.818337892398017	0.90889862895863	0.999752358116897
ds	none	0	0	0	0	20	7453	0.818337892398017	0.90889862895863	0.999752358116897
