step	level	max error	mean error	time
0	0	0.107488	0.0582864	0.000993
0	0	0.115484	0.0409177	0.00198
0	0	0.103439	0.0234719	0.004185
0	0	0.0760533	0.0100984	0.004981
0	0	0.0585734	0.00628172	0.006981
0	0	0.01679	0.00321125	0.008981
0	0	0.0133835	0.00183014	0.010981
0	0	0.0133935	0.00121654	0.012981
0	0	0.00348599	0.000601999	0.014988
0	0	0.00348599	0.000601999	0.01598
