step	level	max error	time	nr. of control nodes
0	0	0.513086	7	2
0	0	0.277331	15	4
0	0	0.210561	24	6
0	0	0.161213	31	8
0	0	0.122667	39	10
0	0	0.0395895	48	12
0	0	0.0343822	56	14
0	0	0.0284775	66	16
0	0	0.0141567	76	18
0	0	0.00874385	87	20
0	0	0.00714954	99	22
0	0	0.0059239	111	24
0	0	0.00568224	124	26
0	0	0.00510157	138	28
0	0	0.00494704	151	30
0	0	0.00271781	167	32
0	0	0.00240541	185	34
0	0	0.00208086	200	36
0	0	0.0018738	217	38
0	0	0.00157278	237	40
0	0	0.00157098	259	42
0	0	0.00144856	281	44
0	0	0.00110477	302	46
0	0	0.00101697	324	48
0	0	0.000857846	351	50
0	0	0.000810968	376	52
0	0	0.000767921	406	54
0	0	0.000447958	436	56
0	0	0.000427656	474	58
0	0	0.000313495	506	60
0	0	0.000270999	541	62
0	0	0.000253892	579	64
0	0	0.000310135	620	66
0	0	0.00025332	661	68
0	0	0.000229515	709	70
0	0	0.000193057	752	72
0	0	0.000182858	803	74
0	0	0.000168981	857	76
0	0	0.000166206	911	78
0	0	0.000156529	971	80
0	0	0.000128964	1033	82
0	0	0.000141045	1105	84
0	0	0.000120979	1172	86
0	0	0.000119116	1242	88
0	0	0.000100356	1314	90
0	0	7.82719e-005	1394	92
0	0	7.5923e-005	1473	94
0	0	9.33217e-005	1557	96
0	0	6.54043e-005	1642	98
0	0	5.93258e-005	1731	100
0	0	5.74129e-005	1824	102
0	0	4.77452e-005	1915	104
0	0	4.6349e-005	2010	106
0	0	4.57785e-005	2114	108
0	0	2.86826e-005	2216	110
0	0	2.64114e-005	2322	112
0	0	2.17937e-005	2437	114
0	0	2.05508e-005	2565	116
0	0	1.91327e-005	2710	118
0	0	1.80157e-005	2861	120
0	0	1.64239e-005	2997	122
0	0	1.6063e-005	3149	124
0	0	1.50681e-005	3301	126
0	0	1.48703e-005	3445	128
0	0	1.15307e-005	3591	130
0	0	1.14291e-005	3778	132
0	0	1.05285e-005	3943	134
0	0	9.34761e-006	4122	136
0	0	8.72587e-006	4297	138
0	0	7.7523e-006	4482	140
0	0	7.448e-006	4666	142
0	0	9.29666e-006	4855	144
0	0	7.95523e-006	5052	146
0	0	6.68533e-006	5249	148
0	0	6.06099e-006	5454	150
0	0	5.67985e-006	5671	152
0	0	5.46456e-006	5894	154
0	0	5.19981e-006	6127	156
0	0	5.01963e-006	6367	158
0	0	4.81271e-006	6642	160
0	0	3.8115e-006	6927	162
0	0	3.5273e-006	7202	164
0	0	3.05437e-006	7484	166
0	0	2.97064e-006	7765	168
0	0	2.50566e-006	8078	170
0	0	2.59957e-006	8400	172
0	0	2.62715e-006	8735	174
0	0	2.24696e-006	9055	176
0	0	1.94596e-006	9374	178
0	0	1.94937e-006	9705	180
0	0	1.63216e-006	10044	182
0	0	1.41282e-006	10384	184
0	0	1.32467e-006	10746	186
0	0	1.2949e-006	11128	188
0	0	1.27665e-006	11500	190
0	0	1.07205e-006	11892	192
0	0	1.04672e-006	12317	194
0	0	1.2493e-006	12748	196
0	0	1.03071e-006	13185	198
0	0	9.26626e-007	13602	200
0	0	1.07395e-006	14060	202
0	0	9.21228e-007	14533	204
0	0	8.88193e-007	15045	206
0	0	9.47589e-007	15534	208
0	0	8.46408e-007	16047	210
0	0	8.41458e-007	16593	212
0	0	8.2211e-007	17163	214
0	0	8.57997e-007	17723	216
0	0	8.05297e-007	18302	218
0	0	7.82231e-007	18889	220
0	0	6.87726e-007	19509	222
0	0	7.16621e-007	20098	224
0	0	6.42351e-007	20748	226
0	0	6.37198e-007	21538	228
0	0	7.06473e-007	22417	230
0	0	6.21211e-007	23212	232
0	0	5.8506e-007	24076	234
0	0	5.53759e-007	25060	236
0	0	4.84825e-007	25967	238
0	0	4.81849e-007	26747	240
0	0	4.77886e-007	27456	242
0	0	4.56008e-007	28248	244
0	0	4.13013e-007	29048	246
0	0	3.86457e-007	29844	248
0	0	4.7415e-007	30700	250
0	0	3.86009e-007	31534	252
0	0	3.13541e-007	32392	254
0	0	3.09394e-007	33211	256
0	1	4.77362e-007	33217	1
0	1	6.57355e-007	33221	3
0	1	8.5124e-007	33226	5
0	1	5.70384e-007	33232	7
0	1	2.37159e-006	33238	9
0	1	1.04466e-006	33244	11
0	1	7.48903e-007	33252	13
0	1	5.12761e-007	33260	15
0	1	1.11076e-006	33269	17
0	1	7.05899e-007	33277	19
0	1	3.87595e-007	33287	21
0	1	7.69595e-007	33295	23
0	1	4.23482e-007	33307	25
0	1	3.95034e-007	33318	27
0	1	3.4128e-007	33330	29
0	1	2.05325e-006	33344	31
0	1	9.08636e-007	33356	33
0	1	6.02692e-007	33369	35
0	1	5.66085e-007	33385	37
0	1	6.09651e-007	33401	39
0	1	4.09959e-007	33421	41
0	1	3.56536e-007	33440	43
0	1	3.7011e-007	33459	45
0	1	3.71102e-007	33479	47
0	1	3.98116e-007	33500	49
0	1	4.26982e-007	33523	51
0	1	4.02669e-007	33552	53
0	1	3.24386e-007	33580	55
0	1	5.64433e-007	33610	57
0	1	4.52782e-007	33639	59
0	1	7.18615e-007	33671	61
0	1	3.86779e-007	33703	63
0	1	3.71015e-007	33739	65
0	1	3.00099e-007	33777	67
0	1	3.52459e-007	33815	69
0	1	3.26671e-007	33857	71
0	1	3.60083e-007	33902	73
0	1	4.2711e-007	33948	75
0	1	3.54823e-007	33996	77
0	1	2.8544e-007	34047	79
0	1	3.14838e-007	34101	81
0	1	5.12272e-007	34159	83
0	1	2.8935e-007	34218	85
0	1	3.28664e-007	34281	87
0	1	2.79663e-007	34348	89
0	1	2.53511e-007	34417	91
0	1	2.59257e-007	34488	93
0	1	2.35297e-007	34559	95
0	1	2.35848e-007	34634	97
0	1	3.5347e-007	34714	99
0	1	2.30825e-007	34794	101
0	1	2.44455e-007	34887	103
0	1	2.37562e-007	34992	105
0	1	3.42743e-007	35088	107
0	1	2.78091e-007	35191	109
0	1	2.77591e-007	35313	111
0	1	2.24114e-007	35428	113
0	1	4.47093e-007	35547	115
0	1	2.31397e-007	35698	117
0	1	2.21329e-007	35831	119
0	1	2.70118e-007	35964	121
0	1	5.35509e-007	36106	123
0	1	2.20438e-007	36244	125
0	1	2.7558e-007	36392	127
0	1	2.79131e-007	36542	129
0	1	2.11717e-007	36699	131
0	1	2.11535e-007	36865	133
0	1	2.04667e-007	37038	135
0	1	2.30001e-007	37212	137
0	1	1.94831e-007	37401	139
0	1	2.15152e-007	37592	141
0	1	1.89263e-007	37785	143
0	1	4.0714e-007	37993	145
0	1	1.77997e-007	38212	147
0	1	1.70382e-007	38438	149
0	1	2.26235e-007	38663	151
0	1	1.90719e-007	38875	153
0	1	1.8405e-007	39099	155
0	1	1.67809e-007	39328	157
0	1	1.46844e-007	39564	159
0	1	2.21869e-007	39806	161
0	1	2.60079e-007	40055	163
0	1	1.40059e-007	40313	165
0	1	1.40131e-007	40579	167
0	1	1.43464e-007	40859	169
0	1	2.31302e-007	41151	171
0	1	1.48443e-007	41464	173
0	1	1.55108e-007	41780	175
0	1	1.41284e-007	42120	177
0	1	2.35873e-007	42468	179
0	1	1.4104e-007	42796	181
0	1	1.8418e-007	43153	183
0	1	1.27116e-007	43513	185
0	1	1.25713e-007	43871	187
0	1	1.53623e-007	44245	189
0	1	1.24199e-007	44649	191
0	1	1.19472e-007	45053	193
0	1	1.15105e-007	45447	195
0	1	1.21877e-007	45861	197
0	1	1.09386e-007	46284	199
0	1	1.08988e-007	46715	201
0	1	1.05839e-007	47175	203
0	1	1.04819e-007	47635	205
0	1	1.74469e-007	48109	207
0	1	1.0098e-007	48667	209
0	1	1.97514e-007	49228	211
0	1	9.77177e-008	49740	213
0	1	9.64889e-008	50265	215
0	1	1.52691e-007	50805	217
0	1	2.82346e-007	51352	219
0	1	1.08541e-007	51910	221
0	1	9.33271e-008	52480	223
0	1	1.17231e-007	53103	225
0	1	1.23661e-007	53707	227
0	1	1.27121e-007	54332	229
0	1	1.23801e-007	54973	231
0	1	9.26853e-008	55617	233
0	1	1.13949e-007	56321	235
0	1	8.59865e-008	57046	237
0	1	8.63488e-008	57747	239
0	1	8.40311e-008	58476	241
0	1	1.45133e-007	59232	243
