322	-0.0766025403784439	-0.147320508075689
323	-0.0819615242270663	-0.127320508075689
324	-0.0873205080756888	-0.107320508075689
325	-0.0926794919243113	-0.0873205080756888
326	-0.0980384757729337	-0.0673205080756887
327	-0.103397459621556	-0.0473205080756888
348	-0.0966025403784439	-0.152679491924311
349	-0.101961524227066	-0.132679491924311
350	-0.107320508075689	-0.112679491924311
351	-0.112679491924311	-0.0926794919243113
352	-0.118038475772934	-0.0726794919243113
353	-0.123397459621556	-0.0526794919243112
